,PMID,database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,doi,citation,authours,year,pmid,notes,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),Age,min age,max age,follow up min,follow up max,old_notes,Notes_y,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3
153,31987714,Pub-med,A nasolabial fold reset technique for enhancing miDFace lifts in facial reanimation: Three-dimensional volumetric analysis,"Despite successfully gaining excursion after free muscle transfer for facial palsy, soft tissue asymmetry, especially around the nasolabial fold (NLF) and medial cheek, is a troublesome problem in elderly patients. An NLF reset technique that enhances miDFace lifts has been introduced to overcome this problem. Our study included 43 consecutive patients who underwent facial reanimation surgery with free functional muscle transfer between March 2015 and July 2017. Of these, 20 patients underwent conventional procedures and 23 underwent our NLF reset technique. Postoperative oral commissure excursion and symmetry at rest and while smiling were quantified using FACEgram (Facial Assessment by Computer Evaluation) software. To detect soft-tissue changes after surgery, three-dimensional analysis was performed using Morpheus¬¨¬®‚àö√ú, a 3D, LED-based, white-structured-light scanner. The NLF group had a significantly larger postoperative mean excursion at rest (control 25.32 ¬¨¬®¬¨¬± 2.80 mm vs NLF 27.42 ¬¨¬®¬¨¬± 3.60 mm; p = 0.047). The mean horizontal length ratios (affected-to-healthy) revealed better symmetry in the NLF group (resting 1.05 ¬¨¬®¬¨¬± 0.22, smiling 0.97 ¬¨¬®¬¨¬± 0.19; p = 0.201). The three-dimensional miDFace volume difference was significantly lower in the NLF group. The NLF reset technique produced improved surgical outcomes. An incision made along a mirrored NLF can influence miDFace lifting in patients with facial palsy, with the soft tissue concentrated in the lower face mobilized superomedially.",0,,2,1,3.0,9,1,2,0,10.1016/j.jcms.2020.01.001,J Craniomaxillofac Surg. 2020 Feb;48(2):162-169. doi: 10.1016/j.jcms.2020.01.001. Epub 2020 Jan 15.,"Kim MJ, Oh TS.",2020,31987714,gracilis muscle flap with obturator nerve,23.0,,,,,,,,,,no nerve transfer,,,['Alt flap'],Alt,,
154,32040004,Pub-med,Dynamic Brow Restoration Using a Soft Tissue Expander in Adult Patients With Arteriovenous Malformation,"Background: Impaired brow function in adult patients with arteriovenous malformation is a serious disability that can even influence the field of vision. Brow reanimation techniques are used to recover a more natural appearance and brow function. Many static procedures have been set to augment brow elevation, but only dynamic procedures can lead to better functional results. In this study, the experience of a single surgeon addressing the challenge of brow restoration with dynamic procedures is presented. Methods: A retrospective review was performed using the records of 4 adult patients who underwent dynamic procedures using a soft tissue expander for brow restoration after arteriovenous malformation excision in the unilateral site of the forehead with the expander on the contralateral side. Movement and electrodiagnostic examinations were performed postoperatively at 2 months. Results: The patients included 3 males and 1 female (mean age, 20.5 ¬¨¬®¬¨¬± 4.04 years). Brow improvement was noted in all patients. The results of the electrodiagnostic examination showed synchronous and spontaneous motor unit potentials and compound muscle action potentials with the contralateral forehead. Conclusions: Dynamic procedures using a soft tissue expander can provide both static and dynamic functional brow elevation of the contralateral frontalis and skin.",0,,0,0,0.0,5,2,1,0,10.1097/SAP.0000000000002140,Ann Plast Surg. 2020 Apr;84(4):397-401. doi: 10.1097/SAP.0000000000002140.,"Ding W, Chen H, Lin X, Hu X.",2020,32040004,"Tools: Global Aesthetic Improvement Scale Outcomes: brow improvement, motor unit potentialsfrontalis skin-muscle flap",4.0,,,,,,,,,,no nerve transfer,,,,,,
155,32049759,Pub-med,Suprazygomatic Aponeurotic McLaughlin Myoplasty for Facial Reanimation,"Background: Suprazygomatic aponeurotic McLaughlin (SAM) myoplasty technique for facial reanimation is based on the classical McLauglin's lengthening temporalis myoplasty with a series of new modifications. A comprehensive review of previously described other orthodromic temporalis myoplasty techniques is also included to give a succinct comparison. Methods: Twelve adult patients of facial palsy underwent SAM myoplasty for a period of 4 years. Three had congenital facial palsy, 4 patients had facial palsy secondary to acoustic neuromas, 3 were posttraumatic, and 2 patients had Bell's palsy. Results: Range of modiolus excursion achieved as measured at 3 months postoperatively on reanimation in our patients was 5 mm to 20 mm with an average of 12.6 mm. With SAM myoplasty technique, we were able to achieve excellent result in 4 patients and good results in 8 patients as evaluated with May and Druker scoring system. Conclusions: Suprazygomatic aponeurotic McLaughlin myoplasty for facial reanimation demonstrates a successful modification of the classical McLaughlin lengthening temporalis myoplasty, making it more customizable, simple, and predictable by taking the level of transection to the temporalis aponeurosis without the need for zygomatic osteotomy. A new classification of orthodromic temporalis myoplasty based on level of transections is also proposed for the first time. Good to excellent outcomes coupled with high patient satisfaction and low morbidity should make this technique popular among the facial reanimation surgeons.",0,,0,3,0.0,9,2,1,0,10.1097/SAP.0000000000002266,Ann Plast Surg. 2020 Aug;85(2):149-157. doi: 10.1097/SAP.0000000000002266.,"Choudhary S, Khanna S, Mantri R, Arora P.",2020,32049759,"Tools: May and Druker scoring system Outcomes: modiolus excursion, nasolabial skin excision free gracilis muscle flap",12.0,,,,,,,,,,no nerve transfer,,,,,,
156,32053138,Pub-med,"Association of Socioeconomic, Personality, and Mental Health Factors With Health-Related Quality of Life in Patients With Facial Palsy","Importance: Knowledge of factors associated with health-related quality of life in patients with facial palsy may aid in better interpreting outcomes of research and treatment. Objective: To identify factors associated with health-related quality of life in patients with facial palsy. Design, setting, and participants: The inclusion period for participants in this cross-sectional study at the University Medical Center Groningen, a tertiary referral center for facial reanimation surgery, was March 1 to June 1, 2019. Patients aged at least 18 years with facial palsy who had undergone surgery for facial palsy between January 1, 2007, and January 1, 2018, and patients visiting the outpatient clinic of the University of Groningen Department of Plastic Surgery for their facial palsy between March 1 and June 1, 2019, were also asked to participate. Of 276 patients invited, 145 gave informed consent. Twenty patients did not respond after consent, 3 patients withdrew from the study, and 1 patient was wrongly included. Main outcomes and measures: Health-related quality of life was measured using the Facial Clinimetric Evaluation Scale and the Facial Disability Index (physical score and social score). Facial function was assessed with the Sunnybrook Facial Grading System. Other variables were investigated using validated questionnaires, including the Duke University Religion Index, Ten-Item Personality Inventory, and Hospital Anxiety and Depression Scale. Multivariable linear regression analyses with stepwise backward selection were performed to identify associations with health-related quality of life. Because 44 Sunnybrook composite scores were missing, a sensitivity analysis was performed that excluded the Sunnybrook composite scores from the multivariable analysis. Results: In total, 121 patients with facial palsy were included; their median age was 62 years (interquartile range, 48-71 years), and 63 (52%) were women. Sunnybrook composite score (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = 0.4; 95% CI, 0.2-0.5), extraversion (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = 2.6; 95% CI, 0.4-4.8), and anxiety (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = -2.4; 95% CI, -4.1 to -0.8) were associated with the Facial Clinimetric Evaluation Scale total score (R2 = 0.380; 95% CI, 0.212-0.548). The Sunnybrook composite score was associated with the Facial Disability Index physical score (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = 0.2; 95% CI, 0.0-0.4) (R2 = 0.084; 95% CI, -0.037 to 0.205). Bilateral facial palsy (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = -21.2; 95% CI, -32.3 to -10.1), extraversion (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = 2.7; 95% CI, 1.3-4.1), conscientiousness (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = 2.7; 95% CI, 0.2-5.2), emotional stability (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = 3.3; 95% CI, 1.7-4.8), and depression (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = -1.3; 95% CI, -2.5 to -0.1) were associated with the Facial Disability Index social score (R2 = 0.400; 95% CI, 0.262-0.538). In the sensitivity analysis, the Sunnybrook composite score was associated with age (Spearman ‚Äö√¢√†‚àö¬®‚Äö√†√∂‚àö√± = -0.252). Conclusions and relevance: Bilateral facial palsy, age, severity of facial palsy, mental distress, and personality traits should be taken into account in future research and treatment of patients with facial palsy.",0,,0,0,0.0,7,2,1,0,10.1001/jamaoto.2019.4559,JAMA Otolaryngol Head Neck Surg. 2020 Apr 1;146(4):331-337. doi: 10.1001/jamaoto.2019.4559.,"Bruins TE, van Veen MM, Mooibroek-Leeuwerke T, Werker PMN, Broekstra DC, Dijkstra PU.",2020,32053138,"Ten-Item Personality Inventory, and Hospital Anxiety and Depression Scale.. Postive Outcomes: positive association between scales and scores looking at quality of life outcomes with facial palsy, not surgery",121.0,,,,,,,,,,no nerve transfer,,,,,,
157,32099836,Pub-med,Cryopreserved fascia lata allograft use in surgical facial reanimation: a retrospective study of seven cases,"Background: Facial palsy treatment comprises static and dynamic techniques. Among dynamic techniques, local temporalis transposition represents a reliable solution to achieve facial reanimation. The present study describes a modification of the temporalis tendon transfer using a cryopreserved fascia allograft. Case presentation: Between March 2015 and September 2018, seven patients with facial palsy underwent facial reanimation with temporalis tendon transfer and fascia lata allograft. Patients with long-term palsy were considered, and both physical and social functions were evaluated. The mean follow-up time was 21.5 months. No immediate complications were observed. Patients reported improvement in facial symmetry both in static and dynamic. Improvement was noticed also in articulation, eating, drinking, and saliva control. The Facial Disability Index revealed an improvement both in physical function subscale and in the social/well-being function subscale. Conclusions: This modified orthodromic technique allows to reduce the operative time and the risk of complications connected to the use of autologous tissues. The use of the cryopreserved fascia allografts from cadaveric donors seems to provide promising and long-standing results in the treatment of facial palsy.",0,,2,3,0.0,9,2,1,0,10.1186/s40902-020-0246-9,Maxillofac Plast Reconstr Surg. 2020 Feb 8;42(1):2. doi: 10.1186/s40902-020-0246-9. eCollection 2020 Dec.,"Silan F, Consiglio F, Dell'Antonia F, Montagner G, Trojan D, Berna G.",2020,32099836,"Tools: Facial Disability Index Outcomes:symmetry,improvement in articulation, eating, drinking, and saliva control temporalis tendon transfer + fascia lata allograft (count as 1 and 4 for ""other tissue""?)",7.0,,,,,,,,,,no nerve transfer,,,['Fascia flap'],Fascia lata,,
158,32113740,Pub-med,A modified temporalis transfer technique for facial paralysis in elderly patients,"Introduction: In patients with chronic facial palsy where the treatment by conservative means or only nerve grafting is no longer an option, reconstruction by dynamic procedures such as pedicled and/or free muscle transfer is required. Patients and methods: Five patients with chronic facial palsy were treaded by temporalis muscle transfer to the eye and mouth simultaneously. In four of them, the combined Gillies-McLaughlin technique was used, but for the fifth one, a modified technique was applied. Results: In all patients, immediate and late postoperative clinical outcomes were satisfactory and improved their everyday quality of life. Discussion: Depending on the duration of the disease, there are different techniques that can be used. For the chronic facial palsy in elderly patients, the muscle transfer has better results, and a self-developed algorithm give us the opportunity to choose the best possible treatment for each one of our patients. The modified technique was found to be better with less surgical time, and recovery period for the patients. Conclusion: All the patients were satisfied with the results. For the fifth patient that the modified technique applied, the healing process was faster, and the aesthetic and functional reanimation achieved easiest, with no donor-site morbidity, comparatively with the rest patients where the standard Gillies-McLaughlin technique was used.",0,,0,1,0.0,4,2,1,0,10.1016/j.injury.2020.02.107,Injury. 2020 Dec;51 Suppl 4:S88-S92. doi: 10.1016/j.injury.2020.02.107. Epub 2020 Feb 21.,"Papadopulos N‚Äö√¢√†‚àö‚â†‚Äö√†√∂¬¨¬•, Markou MA.",2020,32113740,"Tools: Hb score Outcomes: quality of liife, symmetry, movement, oral continence",5.0,,,,,,,,"Multiple nerve grafts:nerve graft,nerve grafting",,no nerve transfer,,,,,,
159,32165940,Pub-med,Hypoglossal Facial Nerve Anastomosis for Post-Operative and Post-Traumatic Complete Facial Nerve Paralysis,"Aim: This study aims to evaluate the outcome of patients with complete facial paralysis following surgery to cerebellopontine angle tumours or following traumatic petrous bone fractures after reanimation by hypoglossal-facial anastomosis as regards clinical improvement of facial asymmetry and facial muscle contractility as well as complications associated with hypoglossal-facial reanimation procedure. Methods: This thesis included a prospective study to be carried out on 15 patients with unilateral complete lower motor neuron facial paralysis (11 patients after cerebellopontine angle tumour resection and 4 patients after traumatic transverse petrous bone fracture) operated upon by end to end hypoglossal-facial nerve anastomosis in Cairo university hospitals in the period between June 2015 and January 2017. Results: At one year follow up the improvement of facial nerve functions were as follows: Three cases (20%) had improved to House Hrackmann grade II, eleven cases (73.33%) had improved to grade III, and one patient (6.66%) had improved to House Brackmann grade IV. Conclusion: Despite the various techniques in facial reanimation following facial nerve paralysis, the end to end hypoglossal-facial nerve anastomosis remains the gold standard procedure with satisfying results in cases of the viable distal facial stump and non-atrophic muscles. Early hypoglossal-facial anastomotic repair after acute facial nerve injury is associated with better long-term facial function outcomes and should be considered in the management algorithm.",3,,0,0,9.0,5,8,1,0,10.3889/oamjms.2019.490,Open Access Maced J Med Sci. 2019 Jul 29;7(23):3984-3996. doi: 10.3889/oamjms.2019.490. eCollection 2019 Dec 15.,"Elkatatny AAAM, Abdallah HAA, Ghoraba D, Amer TA, Hamdy T.",2019,32165940,"Tools:HB scores, clinical evaluation Outcomes: duration of paralysis, complications (hemiatrophy of the tongue, difficulty swallowing, difficulty in speech, synkinesis)",15.0,,,,,,,,Multiple nerve grafts:hypoglossal,,Hypoglossal nerve transfer,,,,,,
160,32176144,Pub-med,Predictive Value of Preoperative and Intraoperative Neurophysiology in Evaluating Long-term Facial Function Outcome in Acoustic Neuroma Surgery,"Objective: To determine the role of neurophysiological preoperative and intraoperative parameters in providing prognostic information regarding facial nerve (FN) function at 1 year after translabyrinthine acoustic neuroma (AN) resection surgery. Study design: Prospective observational study in a tertiary referral center. Patients treated via translabyrinthine surgical approach for sporadic AN microresection between December 2015 and 2018. Methods: Patients underwent preoperative (electroneurography-ENG, electromyography-EMG, and Blink Reflex-BR) and intraoperative (FN motor action potential-MAP and continuous EMG traces) neurophysiological studies. FN function was graded postoperatively at 1 year using House-Brackmann Scoring System. Results: Sixty-two patients were included in the analysis. Mean age was 53¬¨¬®¬¨¬Æ¬¨¬®¬¨¬±10 years and average tumor diameter was 23 ¬¨¬®¬¨¬Æ¬¨¬®¬¨¬± 9 mm. At 1 year a normal facial function was observed in 68% of patients. In the univariate analysis a pathologic BR, low FN MAP values and ratios, and the presence of pathological neurotonic tracing (A-trains) on continuous EMG were associated with a poor facial nerve function outcome at 1 year postoperatively. Pathological preoperative BR testing and intraoperative A-trains showed a statistical significance also in the multivariable analysis, regardless of tumor size. Conclusions: Preoperative pathological BR testing and A-train activity on intraoperative EMG are correlated with poor FN outcomes at 1 year postoperative. This may provide important prognostic information to both patients and treating neuro-otologists. In the future this may guide preoperative and postoperative patient counselling and possibly optimize timing of facial nerve reanimation in selected patients.",0,,0,0,0.0,9,2,1,0,10.1097/MAO.0000000000002553,Otol Neurotol. 2020 Apr;41(4):530-536. doi: 10.1097/MAO.0000000000002553.,"Frigeni B, Bivona R, Foresti C, Guazzo E, Danesi G.",2020,32176144,"Tools:HB score Outcomes: facial nerve outcome, comparisson between preop EMG vs. Postop FN function article discusses measuring facial nerve function - not surgical tx of facial nerve plasy",62.0,,,,,,,,,,no nerve transfer,,,,,,
161,32266284,Pub-med,Functional Outcome and Quality of Life After Hypoglossal-Facial Jump Nerve Suture,"Background: To evaluate the face-specific quality of life after hypoglossal-facial jump nerve suture for patients with long-term facial paralysis. Methods: A single-center retrospective cohort study was performed. Forty-one adults (46% women; median age: 55 years) received a hypoglossal-facial jump nerve suture. Sunnybrook and eFACE grading was performed before surgery and at a median time of 42 months after surgery. The Facial Clinimetric Evaluation (FaCE) survey and the Facial Disability Index (FDI) were used to quantify face-specific quality of life after surgery. Results: Hypoglossal-facial jump nerve suture was successful in all cases without tongue dysfunction. After surgery, the median FaCE Total score was 60 and the median FDI Total score was 76.3. Most Sunnybrook and eFACE grading subscores improved significantly after surgery. Younger age was the only consistent independent predictor for better FaCE outcome. Additional upper eyelid weight loading further improved the FaCE Eye comfort subscore. Sunnybrook grading showed a better correlation to FaCE assessment than the eFACE. Neither Sunnybrook nor eFACE grading correlated to the FDI assessment. Conclusion: The hypoglossal-facial jump nerve suture is a good option for nerve transfer to reanimate the facial muscles to improve facial motor function and face-specific quality of life.",3,,0,0,0.0,7,8,1,0,10.3389/fsurg.2020.00011,Front Surg. 2020 Mar 19;7:11. doi: 10.3389/fsurg.2020.00011. eCollection 2020.,"Volk GF, Geitner M, Gei‚Äö√†√∂‚àö¬∫ler K, Thielker J, Raslan A, Mothes O, Dobel C, Guntinas-Lichius O.",2020,32266284,"Tools: Sunnybrook, eFACE, FaCE survey, Facial Disbility Index Outcomes: reiinnervation of muscles hypoglossal -facial jump nerve suture; auricular nerve was used as interpositional nerve graft",41.0,,,,,,,,,,Hypoglossal nerve transfer,,,,,,
162,32364354,Pub-med,Dynamic smile reanimation in facial nerve palsy,"Objectives: Long-term facial paralysis results in degeneration of the distal nerve segment and atrophy of the supplied muscles. Options for these patients include free muscle transfer, temporalis myoplasty, and botulinum toxin injections for smile reanimation. In this study we aimed to evaluate the subjective and objective outcomes of these procedures. Materials and methods: In our study, we retrospectively analyzed smile symmetry in patients with facial palsy (n=8) who underwent facial reanimation procedures. Results: Subjective analysis showed high satisfaction in seven out of eight patients. Objective analysis showed statistically significant improvement postoperatively in both vertical and horizontal smile symmetry at rest and during maximum smile (P<0.001). Conclusion: Choosing the ideal procedure for the patients is the most critical aspect for facial reanimation. Though free muscle transfer is considered gold standard procedure, temporalis myoplasty also gives satisfactory results. Residual synkinesis which can lead to disturbing aesthetic deformity can be effectively treated with botulinum toxin.",0,,1,1,0.0,2,8,3,1,10.5125/jkaoms.2020.46.2.143,J Korean Assoc Oral Maxillofac Surg. 2020 Apr 30;46(2):143-149. doi: 10.5125/jkaoms.2020.46.2.143.,"Krishnan Santha K, Joseph S, Latheef S, Narayanan S, Nair SM, Babu B, Sivadasan A, Shet SM, Pydi RV, Pati A, Samantaray SA.",2020,32364354,,8.0,,,,,,,,,,no nerve transfer,,,gracilis,,,
163,32486859,Pub-med,Temporalis Tendon Transfer/Lengthening Temporalis Myoplasty for MiDFacial Static and Dynamic Reanimation After Head and Neck Oncologic Surgery,"Importance: Facial nerve paralysis is an unfortunate, yet relatively common sequela in the treatment of head and neck cancer. Static options for reanimation of the paralyzed miDFace and oral commissure offer limited quality-of-life improvement and may stretch over time. Reinnervation offers a prolonged recovery and may not be possible among patients with advanced cancer or in salvage situations. Objective: To determine the improvement in resting tone and dynamic excursion gained by use of temporalis tendon transfer (TTT) and lengthening temporalis myoplasty (LTM) for facial nerve reanimation among patients undergoing oncologic head and neck cancer surgery. Design, Setting, and Participants: We present the largest series of primary and secondary TTT operations with prolonged photographic and video-based data with analysis enabled by FaceGram open-source quantitative methodology. This was achieved using preoperative and postoperative digital photographs of each patient at rest and full smile excursion. Using the JAVA-based program Facegram v1.0, measurements were taken of the oral commissure in relation to a line tangent to the inferior border of the lower lip. All operations were performed at the University of California, San Francisco, following oncologic resections between April 2011 and June 2018. Main Outcomes and Measures: Quantitative analysis of facial measurement with Facegram. Results: Of the 32 patients in our series, 19 (59.4%) were male and 13 (40.6%) were female. The average age was 71.3 ¬¨¬®¬¨¬± 10 years. There was a mean 4.89 mm (p < 0.01, 95% confidence interval [CI]: 2.78-6.99) increase in height of affected side oral commissure compared with preoperative measurements during full smile excursion, and a 3.05 mm (p < 0.04, 95% CI: 0.22-5.87) increase in horizontal excursion of smile vector. There was also a significant increase in static support at rest, measuring an average of 5.45 mm (p < 0.01, 95% CI: 2.56-8.33) and 2.71 mm (p < 0.04, 95% CI: 0.18-5.25) increase in affected oral commissure vertical and horizontal positions at rest, respectively. The average postoperative follow-up was 11.4 months (95% CI: 5.6-14.11). In addition, when compared with patients treated with postoperative radiation therapy (9 patients), those who received preoperative radiation (15 patients) had a significant improvement in the resting vertical height of the affected side (mean 5.32 mm (p < 0.05, 95% CI: 0.06-10.57)). Conclusions and Relevance: These findings encourage the use of TTT/LTM for facial nerve paralysis in appropriately selected head and neck oncologic patients.",0,,0,0,10.0,3,1,2,0,10.1089/fpsam.2020.0069,Facial Plast Surg Aesthet Med. 2021 Jan-Feb;23(1):31-35. doi: 10.1089/fpsam.2020.0069. Epub 2020 Jun 2.,"House AE, Han M, Strohl MP, Park AM, Seth R, Knott PD.",2021,32486859,"TTT+LTM Negative Outcomes: seroma, extensive wound healing, infection",9.0,,,,,,,,TTT+LTM,TTT+LTM,no nerve transfer,,,,,,
164,32542367,Pub-med,Masseter-to-Facial Cranial Nerve Anastomosis: A Report of 30 Cases,"Background: Facial nerve paralysis (FP) is a possible complication of cerebellopontine angle tumor surgery. Several donor nerves have been used in the past for facial reanimation. We report the results of 30 cases of masseter-to-facial anastomosis. Objective: To prospectively evaluate the efficacy of V to VII anastomosis after FP. Methods: In a prospective study, we included 30 consecutive patients with FP (20 women and 10 men) whose mean age was 48.8 yr (32-76 yr). In almost all cases, FP developed after cerebellopontine angle tumor surgery (29 patients), whereas in one case, FP occurred after skull base trauma. Pre- and postoperative evaluation of facial nerve function was performed using the House-Brackmann (HB) scale and the Sokolovsky scale, as well as by electromyography. Follow-up ranged from 11 to 51 mo and averaged 22 mo. Results: All patients achieved functional recovery of the facial nerve from VI to either III or IV HB degree. Patients with short time FP showed significantly better postoperative recovery. Conclusion: The results of the V to VII anastomosis demonstrate a significant improvement of facial nerve function and virtually no complications.",2,,0,0,0.0,7,8,3,0,10.1093/ons/opaa140,Oper Neurosurg (Hagerstown). 2020 Oct 15;19(5):502-509. doi: 10.1093/ons/opaa140.,"Zotov AV, Rzaev JA, Chernov SV, Dmitriev AB, Kalinovsky AV, Spallone A.",2020,32542367,,30.0,,,,,,,,,,Masseteric nerve transfer,,,,,,
165,32543100,Pub-med,Nasolabial fold dynamics: Implications for facial paralysis and facial reanimation surgery,"Objectives: In patients with facial paralysis, facial reanimation surgery may be needed to normalize facial soft tissue function/movements. Critical for this normalization is the dynamics of the nasolabial folds (NLFs). The objective of this prospective, observational study was to determine the 3D morphologic dynamics of the NLFs in patients with unilateral facial palsy and normal subjects. Settings and sample population: 3D facial soft tissue movement data collected from adults with unilateral, facial paralysis (Bell's Palsy, n = 36); and (2) an age- and sex-frequency matched control group (n = 68). Materials and methods: Movement data were collected during repeated animations from participants using a video-based motion capture system. Movement in terms of displacement and asymmetry of the NLFs, nasal and circumoral regions were analyzed in the lateral, vertical and depth planes; as well as movement of the commissure and NLFs relative to the lower lip midline. Two-sample t tests were used to test for significant group differences. Results: Patients NLFs had less mean displacement, greater mean asymmetry and uncoordinated movements compared with the controls. For both groups during smiling, the NLF and commissure landmarks had approximately similar magnitudes of displacement (control range = 11-14mm; patient range = 7-10mm). Conclusion: NLF dynamics during smiling were as significant as oral commissure excursion. Thus, an immobile NLF is an unnatural feature of facial animations. Surgical treatments that address impaired NFL movements must be considered to create a more natural surgical outcome especially during smiling.",0,,0,0,3.0,9,1,2,0,10.1111/ocr.12400,Orthod Craniofac Res. 2021 Feb;24(1):62-69. doi: 10.1111/ocr.12400. Epub 2020 Oct 9.,"Dusseldorp JR, Faraway J, Razavi L, Hadlock TA, Trotman CA.",2021,32543100,"Lateral,Vertical, and Depth movement of the Nasolabial Fold",36.0,,,,,,,,,,no nerve transfer,,,,,,
166,32561385,Pub-med,The mini-temporalis turnover flap for miDFace reanimation: Photogrammetric and patient-rated outcomes,"Background: Mini-temporalis transposition (MTT) flaps, modified from Gillies' technique, have become less popular than temporalis tendon transfers for miDFace reanimation. MTT involves raising the middle third of the temporalis, transposition over the zygomatic arch and lengthening with deep temporalis fascia which is sutured to the orbicularis oris. Aim: This retrospective study assessed subjective and objective outcomes following MTTs by a single surgeon from 2009 to 2019. Methods: Operative and surgical details were recorded. Four blinded consultants rated pre- and postoperative videos according to Terzis' scale. Pre- and postoperative resting, Mona Lisa and canine smile photographs were analysed using Emotrics, the software that automatically computes differences in inter-landmark distances. Patients also completed the Glasgow Benefit Inventory (GBI) patient-rated outcome measure. Results: Forty-one patients (mean age 65.8 ¬¨¬®¬¨¬Æ¬¨¬®¬¨¬± 15.5) underwent MTT, median 3 (0.4-57) years post-paralysis and were followed up for median of 2.2 (0.4-8.8) years. Higher mean postoperative Terzis score demonstrates symmetric and aesthetic improvements (3 ¬¨¬®¬¨¬Æ¬¨¬®¬¨¬± 1.3 vs. 2 ¬¨¬®¬¨¬Æ¬¨¬®¬¨¬± 1; p<0.05). Emotrics analysis showed postoperative improvements in resting and dynamic symmetry of all indices, with the majority statistically significant (p<0.003). The mean GBI was 35.19 with 17 (94.4%) patients reporting improvement, whereas one (5.6%) patient reported detriment after surgery. Two (5.4%) patients suffered complications: one haematoma and one infection. Four patients (9.8%) required revisional flap tightening. No patients requested revisional surgery for temporal hollowing or zygomatic fullness. Conclusions: MTT effectively improves both subjective and objective resting and dynamic miDFace symmetry in a single stage. These results suggest this technique is a good alternative to temporalis tendon transfer techniques.",0,,0,3,9.0,1,8,1,0,10.1016/j.bjps.2020.05.059,J Plast Reconstr Aesthet Surg. 2020 Dec;73(12):2185-2195. doi: 10.1016/j.bjps.2020.05.059. Epub 2020 May 26.,"Mabvuure NT, Pinto-Lopes R, Fernandez-Diaz O, Tzafetta K.",2020,32561385,"Glasglow, Terzis',Emotrics Negative Outcomes: bulkiness, infection, hematoma",41.0,,,,,,,,,,no nerve transfer,,,,,,
