pmid,database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),Age,min age,max age,follow up min,follow up max,old_notes,Notes_y,notes,tool 1,tool 2,tool 3,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3,,
25819029,Pub-med,One-stage dual latissimus dorsi muscle flap transfer with a pair of vascular anastomoses and double nerve suturing for long-standing facial paralysis,"Objective: Various types of neurovascular free-muscle transfers have been reported as surgical treatments for long-standing facial paralysis. Among one-stage methods, two approaches, that is, latissimus dorsi transfer with nerve suturing to the contralateral facial nerve and gracilis transfer with nerve suturing to the ipsilateral masseteric nerve, have recently become popular. The former method has the advantage of making spontaneous smiling possible, but the contraction strength of the transferred muscle varies, whereas the latter approach has the advantage of guaranteeing voluntary contraction of the transferred muscle, but makes spontaneous smiling difficult. Recently, dual innervation methods have also been reported, but uncertainty remains about the utility of such approaches. To overcome these drawbacks, we devised a hybrid method combining the two previously established techniques. Methods: Two latissimus dorsi muscle flaps containing the thoracodorsal vessels from one side are transferred with a pair of vascular anastomoses. The true trunk of the thoracodorsal nerve, which innervates one of the muscle flaps, is sutured to the contralateral facial nerve, while the short branch of the thoracodorsal nerve, which innervates the other muscle flap, is sutured to the ipsilateral masseteric nerve. From November 2011 to October 2013, we used this method in four patients with long-standing facial paralysis. Results: Smiling was assessed in the three patients who were followed up for more than 1 year, and satisfactory results were obtained (Harii score: 4-5). In one patient, the movement mediated via the contralateral facial nerve was a little weak, but this was compensated for by the muscles controlled by the ipsilateral masseteric nerve. Conclusion: Our novel one-stage method, which involves a combination of two previously established methods, guarantees early voluntary smiling, and spontaneous smiling becomes possible later. In addition, it is free from the uncertainty associated with double innervation and does not require nerve grafts. So, stable results can be expected in most patients with long-standing facial paralysis.",6,"Masseteric + Thoracodorsal, CFNG + Thoracodorsal",1,0,0,9,4,1,0,4,4,8,,,,,,,,"Tools: clinical examination Outcome: smile, movement, muscle tone LD flap",,,,Double innervation,,,,,,,,
25819525,Pub-med,Comparison of Direct Side-to-End and End-to-End Hypoglossal-Facial Anastomosis for Facial Nerve Repair,"Background: The hypoglossal facial anastomosis (HFA) is the gold standard for facial reanimation in patients with severe facial nerve palsy. The major drawbacks of the classic HFA technique are lingual morbidities due to hypoglossal nerve transection. The side-to-end HFA is a modification of the classic technique with fewer tongue-related morbidities. Objectives: In this study we compared the outcome of the classic end-to-end and the direct side-to-end HFA surgeries performed at our center in regards to the facial reanimation success rate and tongue-related morbidities. Methods: Twenty-six successive cases of HFA were enrolled. In 9 of them end-to-end anastomoses were performed, and 17 had direct side-to-end anastomoses. The House-Brackmann (HB) and Pitty and Tator (PT) scales were used to document surgical outcome. The hemiglossal atrophy, swallowing, and hypoglossal nerve function were assessed at follow-up. Results: The original pathology was vestibular schwannoma in 15, meningioma in 4, brain stem glioma in 4, and other pathologies in 3. The mean interval between facial palsy and HFA was 18 months (range: 0-60). The median follow-up period was 20 months. The PT grade at follow-up was worse in patients with a longer interval from facial palsy and HFA (P value: 0.041). The lesion type was the only other factor that affected PT grade (the best results in vestibular schwannoma and the worst in the other pathologies group, P value: 0.038). The recovery period for facial tonicity was longer in patients with radiation therapy before HFA (13.5 vs. 8.5 months) and those with a longer than 2-year interval from facial palsy to HFA (13.5 vs. 8.5 months). Although no significant difference between the side-to-end and the end-to-end groups was seen in terms of facial nerve functional recovery, patients from the side-to-end group had a significantly lower rate of lingual morbidities (tongue hemiatrophy: 100% vs. 5.8%, swallowing difficulty: 55% vs. 11.7%, speech disorder 33% vs. 0%). Conclusion: With the side-to-end HFA technique the functional restoration outcome is at least as good as that following the classic end-to-end HFA, but the complications related to the complete hypoglossal nerve transection can be avoided. Best results are achieved if this procedure is performed within the first 2 years after facial nerve injury. Patients with facial palsy of longer duration also have the chance for good functional restoration after HFA.",3,,0,0,0,5,2,1,0,26,9,14,,,,,,Multiple nerve grafts:hypoglossal,,"Tools: Outcomes:HB score, Pitty and Tator scales Outcome: hemiglossal atrophy, swallowing, and hypoglossal n. function",,,,Hypoglossal nerve transfer,,,,,,,,
26002778,Pub-med,"End-to-side ""loop"" graft for total facial nerve reconstruction: Over 10 years experience","Background: Multiple-branch reconstruction is required in order to attain facial reanimation for extensive facial nerve defects. We previously reported that end-to-side nerve grafting, with the use of a single nerve graft for defect reconstruction, was easy to perform. We have also demonstrated the efficacy of end-to-side nerve suture of the recipient nerve to the donor graft nerve, in experimental rat models and clinical cases. The regenerating axons, which extended into the nerve graft, were ""distributed"" to multiple recipient nerves via end-to-side nerve-suture sites. Methods: Thirty-two patients who underwent facial nerve reconstruction (five to 10 branches) had a single sural nerve graft coapted to the proximal stump of the facial nerve in an end-to-end manner, followed by end-to-side nerve suture of the recipient nerve stumps to the side of the nerve graft. In 19 patients who were expected to undergo postoperative radiotherapy and/or chemotherapy, the distal end of the graft was connected to the side of the hypoglossal nerve for ""axonal supercharging,"" to enhance the recovery of the facial muscles. Results: Initial facial movements were noted at 5-12 months postoperatively, and good recovery (House-Brackmann grade III/IV) was observed during long-term follow-up in most patients. Conclusion: End-to-side nerve suture of the recipient nerve stumps to the nerve graft requires less graft nerve material and less technical mastery to reconstruct multiple branches of the facial nerve. We also described the concept of ""axonal supercharging,"" namely the connection of double-donor neural sources to the graft, and ""axonal distribution,"" namely the reinnervation of multiple recipient nerve stumps connected to the graft in an end-to-side manner. This combination of axonal supercharging and distribution can be a useful option in facial nerve reconstruction.",3,,0,0,1,7,8,3,0,19,5,12,,,,,,"Multiple nerve grafts:hypoglossal,Sural nerve graft",sural nerve,"Tools: HB scores , EMG Outcomes: facial movements, sykinesis, muscle tone sural nerve",,,,Hypoglossal nerve transfer,,,,,,,,
26026222,Pub-med,Double-powered free gracilis muscle transfer for smile reanimation: A longitudinal optoelectronic study,"The choice of the motor donor nerve is a crucial point in free flap transfer algorithms. In the case of unilateral facial paralysis, the contralateral healthy facial nerve can provide coordinated smile animation and spontaneous emotional expression, but with unpredictable axonal ingrowth into the recipient muscle. Otherwise, the masseteric nerve ipsilateral to the paralysis can provide a powerful neural input, without a spontaneous trigger of the smile. Harvesting a bulky muscular free flap may enhance the quantity of contraction but esthetic results are unpleasant. Therefore, the logical solution for obtaining high amplitude of smiling combined with spontaneity of movement is to couple the neural input: the contralateral facial nerve plus the ipsilateral masseteric nerve. Thirteen patients with unilateral dense facial paralysis underwent a one-stage facial reanimation with a gracilis flap powered by a double donor neural input, provided by both the ipsilateral masseteric nerve (coaptation by an end-to-end neurorrhaphy with the obturator nerve) and the contralateral facial nerve (coaptation through a cross-face nerve graft: end-to-end neurorrhaphy on the healthy side and end-to-side neurorrhaphy on the obturator nerve, distal to the masseteric/obturator neurorrhaphy). Their facial movements were evaluated with an optoelectronic motion analyzer. Before surgery, on average, the paretic side exhibited a smaller total three-dimensional mobility than the healthy side, with a 52% activation ratio and >30% of asymmetry. After surgery, the differences significantly decreased (analysis of variance (ANOVA), p < 0.05), with an activation ratio between 75% (maximum smile) and 91% (maximum smile with teeth clenching), and <20% of asymmetry. Similar modifications were seen for the performance of spontaneous smiles. The significant presurgical asymmetry of labial movements reduced after surgery. The use of a double donor neural input permitted both movements that were similar in force to that of the healthy side, and spontaneous movements elicited by emotional triggering.",6,Masseteric + CFNG,1,0,3,2,8,3,0,13,10,,,,,,,"Multiple nerve grafts:cross-face,masseteric nerve",,tools: clinical and optoelectronic motion analyzer.,,,,Double innervation,,,,,,,,
26584060,Pub-med,Early Nerve Grafting for Facial Paralysis After Cerebellopontine Angle Tumor Resection With Preserved Facial Nerve Continuity,"Importance: Preserving facial nerve function is a primary goal and a key decision factor in the comprehensive management of vestibular schwannoma and other cerebellopontine angle (CPA) tumors. Objective: To evaluate the use of the pattern of facial paralysis recovery in the early postoperative months as a sole predictor in selecting patients for facial nerve grafting after CPA tumor resection when cranial nerve VII is uninterrupted. Design, setting, and participants: Sixty-two patients with facial paralysis and uninterrupted cranial nerve VII who developed facial paralysis after CPA tumor resection at The Johns Hopkins Hospital were followed up prospectively to assess for spontaneous recovery and to determine candidacy for facial reanimation surgery. The study dates and dates of analysis were January 1, 2009, to March 31, 2015. Interventions: After a minimum of 6 months of clinical follow-up and no signs of clinical recovery, patients underwent facial nerve exploration and a masseteric or hypoglossal nerve transfer. Intraoperative direct nerve stimulation was performed to assess for the presence of subclinical reinnervation. Patients were followed up for a minimum of 18 months after surgery to evaluate outcomes. Main outcomes and measures: Facial function and recovery were studied objectively with a Smile Recovery Scale, Facial Asymmetry Index, and House-Brackmann (HB) grading system. Other outcome measures included the duration of paralysis, time to recovery, and evidence of synkinesis. Results: Sixty-two patients (33 men, 29 women; mean age 51.8 years) with uninterrupted facial nerves after CPA tumor resection developed HB grade IV, V, or VI facial paralysis. Ten patients underwent nerve grafting by 12 months, 9 patients received grafting after 12 months, and 8 patients had no intervention. Thirty-five patients spontaneously recovered. In all patients who underwent nerve grafting, there were no detectable facial muscle movements or electromyographic response to direct facial nerve stimulation suggestive of occult reinnervation. Overall, early facial reanimation surgery resulted in a shorter total duration of paralysis. Masseteric nerve grafting resulted in earlier recovery compared with hypoglossal nerve grafting (5.6 vs 10.8 months, P = .005). Patients who showed no signs of recovery by 6 months after CPA surgery but declined facial reanimation surgery demonstrated at best HB grade V recovery after 18 months of observation. Conclusions and relevance: The recovery pattern in the early postoperative period among patients who develop facial paralysis after CPA tumor resection is a useful clinical tool in selecting patients for facial reanimation surgery. Patients can be counseled for facial reanimation surgery as early as 6 months after surgery because satisfactory facial functional recovery is unlikely to occur when there is no clinical evidence of spontaneous nerve regeneration in the first 6 months. Level of evidence: 3.",4,,0,0,1,7,2,1,0,62,6,11,,,,,,"Multiple nerve grafts:masseteric nerve,hypoglossal",,"Tools: Smile Recovery Scale, Facial Asymmetry Index, HB score Outcomes:facial function,recovery",,,,Masseteric nerve transfer,Hypoglossal nerve transfer,,,,,,,
27035172,Pub-med,Masseteric-facial nerve neurorrhaphy: results of a case series,"OBJECTIVE Facial palsy is a well-known functional and esthetic problem that bothers most patients and affects their social relationships. When the time between the onset of paralysis and patient presentation is less than 18 months and the proximal stump of the injured facial nerve is not available, another nerve must be anastomosed to the facial nerve to reactivate its function. The masseteric nerve has recently gained popularity over the classic hypoglossus nerve as a new motor source because of its lower associated morbidity rate and the relative ease with which the patient can activate it. The aim of this work was to evaluate the effectiveness of masseteric-facial nerve neurorrhaphy for early facial reanimation. METHODS Thirty-four consecutive patients (21 females, 13 males) with early unilateral facial paralysis underwent masseteric-facial nerve neurorrhaphy in which an interpositional nerve graft of the great auricular or sural nerve was placed. The time between the onset of paralysis and surgery ranged from 2 to 18 months (mean 13.3 months). Electromyography revealed mimetic muscle fibrillations in all the patients. Before surgery, all patients had House-Brackmann Grade VI facial nerve dysfunction. Twelve months after the onset of postoperative facial nerve reactivation, each patient underwent a clinical examination using the modified House-Brackmann grading scale as a guide. RESULTS Overall, 91.2% of the patients experienced facial nerve function reactivation. Facial recovery began within 2-12 months (mean 6.3 months) with the restoration of facial symmetry at rest. According to the modified House-Brackmann grading scale, 5.9% of the patients had Grade I function, 61.8% Grade II, 20.6% Grade III, 2.9% Grade V, and 8.8% Grade VI. The morbidity rate was low; none of the patients could feel the loss of masseteric nerve function. There were only a few complications, including 1 case of postoperative bleeding (2.9%) and 2 local infections (5.9%), and a few patients complained about partial loss of sensitivity of the earlobe or a small area of the ankle and foot, depending on whether great auricular or sural nerves were harvested. CONCLUSIONS The surgical technique described here seems to be efficient for the early treatment of facial paralysis and results in very little morbidity.",2,,0,0,9,7,2,1,0,34,2,12,,,,,,"Multiple nerve grafts:masseteric nerve,Sural nerve graft",,"Tools:modified HB scale Outcomes: facial nerve function, complications (postop bleeding, infections)",,,,Masseteric nerve transfer,,,,,,,,
29283938,Pub-med,Immediate Hypoglossal-Facial Anastomosis in Patients With Facial Interruption,"Hypoglossal-facial anastomosis provides excellent motor supply to the mimetic muscles of the face when there is no chance of recovery of the damaged facial nerve. However, to achieve optimal results, the timing of facial nerve surgery based on electrophysiological testing and clinical evaluation requires close follow-up of the patient. Functional results after delayed surgery are not predictable and depend on the number of surviving fibers, type of injury, severity of damage, degree of infiltration of inflammatory cells, and local fibrosis. Facial hypertonia, synkinesis, and involuntary mass movement are the major problems of delayed reanimation of the facial nerve. Surgery in the vicinity of the facial nerve always aims to preserve neural integrity. However, immediate facial nerve grafting is sometimes required. We present our experience with 4 patients having normal facial function prior to surgery. The facial nerve was severed due to tumor infiltration and instantaneously reconstructed with the hypoglossal nerve. Two patients had House-Brackmann grade-II 10 days and 28 months after surgery, respectively, and another 2 patients had House-Brackmann grade-III facial paralysis 2 weeks and 6 months after surgery, respectively.",3,,0,0,0,9,2,1,0,4,6,28,,,,,,Multiple nerve grafts:hypoglossal,,,,,,Hypoglossal nerve transfer,,,,,,,,
29381636,Pub-med,The Distal Stump of the Intramuscular Motor Branch of the Obturator Nerve Is Useful for the Reconstruction of Long-Standing Facial Paralysis Using a Double-Powered Free Gracilis Muscle Flap Transfer,"Background: Double innervation of the transferred muscle with the contralateral facial nerve and the ipsilateral masseteric nerve has recently been reported by some authors. The aim of this study was to assess the utility of our procedure of double innervation of free gracilis muscle for reconstruction of long-standing facial palsy. Patients and methods: In our department, 6 cases of long-standing facial paralysis (4 cases of complete palsy and 2 of incomplete palsy) were reconstructed using a free gracilis muscle double innervated with the masseteric and contralateral facial nerves. The patient age ranged from 37 to 79 years (average 56.7 ¬¨¬®¬¨¬Æ¬¨¬®¬¨¬± 15.7). In our procedure, the intramuscular motor branch of the transferred muscle was identified and sutured to the ipsilateral masseteric nerve in an end-to-end fashion, and the obturator nerve of the transferred muscle was sutured to the cross-facial nerve graft, which was coapted with the contralateral facial nerve by end-to-end suturing. Results: All patients were followed up for >18 months and recovered their smiling function. The voluntary movement of the transferred muscle with teeth clenching was observed at approximately 4.7 months, and this movement combined with contralateral mouth angle elevation was observed at approximately 9.5 months after the surgery. Conclusions: Our experience suggests that the distal stump of the intramuscular motor branch of the obturator nerve may be useful for facial reanimation via double-powered free gracilis muscle flap transfer.",6,Masseteric + CFNG,1,3,1,9,8,2,0,6,5,10,,,,,,"Multiple nerve grafts:cross-facial,masseteric nerve",,"Tools:EMG, Photoshop Outcomes: smile production, innervation, mouth angle movement",,,,Double innervation,,,,,,,,
30934175,Pub-med,Facial reanimation with masseter nerve-innervated free gracilis muscle transfer in established facial palsy patients,"Background: The masseter nerve is a useful donor nerve for reconstruction in patients with established facial palsy, with numerous advantages including low morbidity, a strong motor impulse, high reliability, and fast reinnervation. In this study, we assessed the. Results: of masseter nerve-innervated free gracilis muscle transfer in established facial palsy patients. Methods: Ten patients with facial palsy who received treatment from January 2015 to January 2017 were enrolled in this study. Three patients received masseter nerve-only free gracilis transfer, and seven received double-innervated free gracilis transfer (masseter nerve and a cross-face nerve graft). Patients were evaluated using the Facial Assessment by Computer Evaluation software (FACEgram) to quantify oral commissure excursion and symmetry at rest and when smiling after muscle transfer. Results: The mean time between surgery and initial movement was roughly 167.7 days. A statistically significant increase in excursion at rest and when smiling was seen after muscle transfer. There was a significant increase in the distance of oral commissure excursion at rest and when smiling. A statistically significant increase was observed in symmetry when smiling. Terzis' functional and aesthetic grading scores showed significant improvements postoperatively. Conclusions: Masseter nerve innervation is a good option with many uses in in established facial palsy patients. For some conditions, it is the first-line treatment. Free gracilis muscle transfer using the masseter nerve has excellent. Results: with good symmetry and an effective degree of recovery.",6,Masseteric + CFNG,1,3,0,7,2,1,0,10,3,12,,,,,,"Multiple nerve grafts:cross-face,masseter nerve",,"Tools: Terzis' functional and aesthetic grading scores Outcomes: time to innervation, smile excursion, distance of oral commissure excursion, symmetry",,,,Double innervation,,,,,,,,
30949826,Embase,Reconstruction of complex defects of the extracranial facial nerve: technique of ‚Äúthe trifurcation approach‚Äù,"Purpose: Reconstruction of complex defects of facial nerve (FN) after extensive cancer surgery requires individualized solutions. We describe the trifurcation technique as a modification of the combined approach on example of two patients with locally advanced parotid cancer. Methods: Due to perineural invasion, extensive resection of the FN from the mastoid segment to the peripheral branches was required. For reanimation of the upper face, a complex cervical plexus graft was sutured end-to-end to the mastoid segment of the FN trunk. The branches of the graft enabled reanimation of three peripheral temporal and zygomatic branches. The mandibular branch was sutured end-to-side to the hypoglossal nerve (hypoglossal‚Äìfacial nerve transfer, HFNT). Additionally, the buccal branch was independently reanimated with ansa cervicalis. Results: Facial reanimation was successful in both patients. Good resting tone and voluntary movement were achieved with a mild degree of synkinesis after 13¬†months. Patient 1 showed the Sunnybrook (SB) composite score 69 [76 (voluntary movement score) ‚àí 0 (resting symmetry score) ‚àí 7 (synkinesis score)]. In patient 2, the SB composite score was 76 (80 ‚àí 0 ‚àí 4, respectively). Conclusions: In this trifurcation approach, cervical cutaneous plexus provides a long complex nerve graft, which allows bridging the gap between proximal FN stump and several peripheral branches without great expenditure. In combination with the HFNT and ansa cervicalis transfer, this procedure enables the facial reanimation with low grade of synkinesis.",6,Hypoglossal + Ansa cervicalis + Cervical plexus,0,2,9,9,8,3,0,2,13,,,,,,,"Multiple nerve grafts:hypoglossal,ansa cervicalis",,"sunnybrook score
neg: asymmetry, synkinesis",,,,Double innervation,,,,,,,,
31609948,Pub-med,Comparison of Lengthening Temporalis Myoplasty and Free-Gracilis Muscle Transfer for Facial Reanimation in Children,"Background: Lengthening temporalis myoplasty (LTM) and cross-face nerve graft with free gracilis muscle transfer (CFNG-FGMT) are the 2 most common procedures used to restore dynamic facial animation and improve facial symmetry. There has not been direct comparison or consensus. Here, the authors compare our experience with respect to muscle activity, symmetry, and excursion. Methods: A retrospective review was performed of patients with facial palsy who had CFNG-FGMT or LTM from 2008 to 2016 at a single institution. Postoperative surface EMG was recorded at maximum open smile. Normal and paralyzed sides of the face were analyzed with Facial Assessment by Computer Evaluation software. Commissure excursion and symmetry was assessed. Results: Six patients with LTM and 10 with CFNG-FGMT met inclusion criteria. Muscle activity was 1st identified in LTM patients after 3 months (47.42 mV, P < 0.001) and CFNG-FGMT patients after 3 months (28.30 mV, P < 0.001) compared to immediate postoperative period. Relative to preoperative excursion, there was significant increase of 3.33 mm in commissure excursion seen at the 0 to 3 month period for LTM patients (P = 0.04). Commisure excursion for CFNG-FGMT was seen later, in the 3- to 6-month postoperative period (4.01, P = 0.024). During smile, CFNG-FGMT patients had better symmetry than unilateral LTM patients. In bilateral LTM patients, there was no significant change in symmetry. Conclusion: Dynamic facial animation improved in both surgical groups. The LTM demonstrates a faster rate of muscle recruitment compared to CFNG-FGMT. After 3 months, both LTM and CFNG-FGMT groups had comparable excursions. A decision-making algorithm is presented.",0,,1,0,0,9,8,3,0,6,3,6,,,,,,,,"Tools: FACE, EMG Outcomes: muscle activity, commissure excursion,",,,,no nerve transfer,,,,,,,,
31624659,Pub-med,Obturator Nerve Split for Gracilis Free-flap Double Reinnervation in Facial Paralysis,"The use of a double-powered free muscle transfer for facial reanimation has been reported by several authors with different types of nerve coaptation. A new nerve coaptation strategy is presented herein. We performed a 1-stage double-powered free gracilis muscle flap transfer in a patient with long-standing facial paralysis by splitting the obturator nerve and anastomosing the 2 free ends to the contralateral facial nerve (through a sural graft) and to the masseteric nerve. Voluntary movement of the transferred muscle with teeth clenching was observed at 6 months after the operation and a symmetric smile with bilateral elevation of the mouth angle at 10 months. Our limited experience suggests that in case of a large cross-section of the obturator nerve, the latter can be split and sutured to the ipsilateral masseteric nerve and to the contralateral facial nerve with a sural graft by double end-to-end anastomosis.",6,Masseteric + Obturator + CFNG,1,3,1,9,8,3,0,1,6,10,,,,,,"Multiple nerve grafts:masseteric nerve,anastomosis",,"Tools: EMG, clinical evaluation Outcomes: symmetry, smile, elevation of mouth angle",,,,Double innervation,,,,,,,,
31688275,Pub-med,Comparative Study of 2 Different Innervation Techniques in Facial Reanimation: Cross-face Nerve Graft-Innervated Versus Double-Innervated Free Gracilis Muscle Transfer,"Recently, 1-stage double innervation with the masseter nerve and the CFNG has gained popularity owing to its outcomes of powerful and synchronous muscle contraction. In this study, we compared CFNG- and double-innervated free gracilis muscle transfer (FGMT) for facial palsy reconstruction.A total of 49 patients with facial palsy who underwent facial reanimation surgery from August 2013 to January 2017 were enrolled. The CFNG group (18 patients) underwent 2-stage CFNG innervation, whereas the double-innervated FGMT group (31 patients) underwent dual coaptation with end-to-end masseter nerve and end-to-side CFNG. The FACEgram software was used for evaluating smile excursion, symmetry index, spontaneous smile occurrence, Terzis' score including palsy pathogenesis, and clinical progress.In the CFNG group, the smile excursion at rest increased (P = 0.000); however, there was increased smile excursion both at rest and during smiling in the double-innervated FMGT group (rest P = 0.002, smile P = 0.028). Improvement of the symmetry index was observed only in the FMGT group (rest P = 0.001, smile P = 0.000). There was no significant difference in Terzis' scores. The average time to the first visible muscle contracture was statistically significantly shorter in the double-innervated FGMT group (P = 0.035). With respect to spontaneous smile achievement, the double-innervated FGMT group (25.8%) showed a satisfactory outcome.Cross-face nerve graft-innervated FGMT improved only smile excursion at rest, whereas double-innervated FGMT provided improvement in both the resting and smiling postures. Furthermore, the double-innervated FGMT group showed a higher symmetry index. However, the 2 operations did not show a significant difference in functional aspects.",6,Masseteric + CFNG,1,3,0,9,1,2,0,18,7,,,,,,,"Multiple nerve grafts:cross-face,masseter nerve","CFNG and double-innervated free gracilis muscle transfer (FGMT); sural nerve harvested the lower leg, harvested gracilis muscle flap","CFNG and double-innervated free gracilis muscle transfer (FGMT); sural nerve harvested the lower leg, harvested gracilis muscle flap",,,,Double innervation,,,,,,,,
31888352,Pub-med,Dual Coaptation of Facial Nerve Using Masseteric Branch of Trigeminal Nerve for Iatrogenic Facial Palsy: Preliminary Reports,"Objectives: Immediate facial nerve substitution or graft technique has been used for the repair of facial nerve defects occurring as a result of tumour dissection. However, some patients report unsatisfactory outcomes, such as difficulty in maintaining resting or smiling symmetry, due to persistent flaccid facial palsy. Here we evaluated the functional outcomes of transferring the masseteric branch of the trigeminal nerve to the facial nerve adjunct to facial nerve graft. Methods: We reviewed the medical records of seven patients who underwent facial reanimation surgery between 2014 and 2016. The patients were divided into two groups according to the type of facial reanimation surgery: group A, masseteric nerve innervation with interposition graft; group B, interposition graft only. The postoperative resting symmetry and dynamic movement were compared. Results: Facial contraction was first observed in group A at 4 months and in group B at 7.3 months. Most of the patients achieved reliable resting symmetry; however, one patient in group B exhibited unsatisfactory facial weakness on the affected side. Group A patients showed better dynamic movement than group B patients. Eye closure, oral excursion and oral continence were better in group A than in group B patients. Smile symmetry in both groups was similar due to hyperkinetic movement in group A patients and flaccidity in group B patients. Conclusions: Dual innervation of the masseteric branch of the trigeminal nerve improves the dynamic movement of paralysed facial muscles and shortens the recovery period in patients with iatrogenic facial palsy.",4,,0,2,1,9,6,2,0,7,4,7,,,,,,,,"Tools: Outcomes: first contraction,symmetry,synkinesis masseteric nerve innervation with interposition graft, interposition graft only",,,,Undefined interposition nerve transfer,Trigeminal nerve transfer,,,,,,,
32158663,Pub-med,Masseteric-Facial Nerve Anastomosis: Surgical Techniques and Outcomes-A Pilot Indian study,"Masseteric-facial anastomosis has gained popularity in recent days compared to the facial-hypoglossal anastomosis. Masseteric nerve has numerous advantages like its proximity to the facial nerve, stronger motor impulse, its reliability, low morbidity in harvesting and sacrificing the nerve and faster re-innervation that is achievable in most patients. The present case series demonstrate the surgical technique and the effectiveness of the masseteric nerve as donor for early facial reanimation. Between January 2017 and February 2019, 6 patients (2 male, 4 female) with iatrogenic unilateral complete facial paralysis (grade VI, House Brackmann scale) who underwent masseteric-facial nerve anastomosis were included in the study. The time interval between the onset of paralysis and surgery ranged from 4 to 18 months (mean 8.5 months). In all patients pre-operative electromyography had facial mimetic muscle fibrillation potentials. All patients underwent end to end anastomosis except for one patient where greater auricular interposition graft was used. In all cases, the facial muscles showed earliest sign of recovery at 2-5 months. These movements were first noticed on the cheek musculature when the patients activated their masseter muscle. Eye movements started appearing at 6-9 months (in 3 cases) and forehead movements at 18 months (in 1 case). According to the modified House-Brackmann grading scale, one patient had Grade I function, two patients had Grade II function, and three had Grade V function. There was no morbidity except one patient who underwent interposition graft had numbness in the ear lobule. None of the patients could feel the loss of masseteric nerve function. Masseteric facial nerve anastomosis is a versatile, powerful early facial dynamic reanimation tool with almost negligible morbidity compared to other neurotization procedures for patients with complete facial nerve paralysis.",4,,0,3,10,7,2,1,0,6,2,18,,,,,,"Multiple nerve grafts:masseteric nerve,hypoglossal",,Negative Outcomes: no spontaneous smile,,,,Masseteric nerve transfer,Hypoglossal nerve transfer,,,,,,,
32334999,Pub-med,One-stage free transfer of latissimus dorsi-serratus anterior combined muscle flap with dual innervation for smile reanimation in established facial paralysis,"Microneurovascular free muscle transfer is the gold-standard surgical procedure for the reanimation of established facial paralysis. However, the innervation of the transferred muscle by the contralateral facial nerve is usually insufficient to produce a stable smile. Besides, the corner of the mouth sometimes moves unnaturally as if it were being pulled up because of the single-direction movement. Thus, we propose one-stage facial reanimation using free latissimus dorsi (LD)-serratus anterior (SA) combined muscle flap transfer with dual innervation. The LD-SA combined muscle flap was harvested with the thoracodorsal artery and vein as common vessels to move the corner of the mouth bidirectionally for natural smiling. The LD muscle was located in the same direction as the zygomaticus major muscle and reinnervated by dual innervation. The contralateral facial nerve was coapted with the thoracodorsal nerve, and the ipsilateral masseter motor nerve was inserted into the LD muscle by intramuscular neurotization. The 6th or 7th SA muscle was located in the same direction as the risorius muscle and reinnervated by neurorrhaphy of the long thoracic nerve and the thin branch of the ipsilateral masseter motor nerve. Since 2015, seven patients have been treated with this method without complications. On average, SA muscle movement was detected in voluntary biting at 3.1 months, and spontaneous smiling occurred 7.7 months after surgery. All patients developed a spontaneous natural smile. This method for established facial paralysis has the potential to improve the quality of the reconstructed smile and the unstable results of conventional single-innervation-single-muscle transfer.",6,Thoracodorsal + CFNG,0,1,0,9,8,3,0,7,3,8,,,,,,,,"nerve transfer: ""the contralateral facial nerve was coapted with the thoracodorsal nerve, and the ipsilateral masseter motor nerve was inserted into the LD muscle by intramuscular neurotization""
muscle flap: free latissimus dorsi (LD)-serratus anterior (SA) combined muscle flap transfer",,,,Double innervation,,,,,,,,
