database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,doi,citation,authours,year,pmid,notes,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),old_notes,Notes_y,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3
Pub-med,Use of gastrointestinal anastomosis stapler for harvest of gracilis muscle and securing it in the face for facial reanimation: a novel technique,"Background: The primary objective of this study is to report a novel technique that uses the gastrointestinal anastomosis (GIA) stapler for harvesting and securing the gracilis muscle in facial reanimation surgery. Methods: We conducted a retrospective chart review with 18 consecutive patients who underwent gracilis muscle flap transfer with or without the use of a GIA stapler. Results: Of 11 operations with the GIA stapler, one patient developed a hematoma (donor site) and another required drainage of an abscess (recipient site). Of 8 operations without the use of the stapler, one patient had total flap failure and three required drainage of an abscess (2 recipient sites and 1 donor site). These differences trended toward improvement but were not statistically different. Conclusions: The use of the GIA stapler is a fast, safe technique. Larger studies are, however, warranted to further examine this novel approach in order to test precisely what factors of increased efficiency occur, the amount of suture pull-through, and overall tension capable of being applied to the secured staple line.",0,,1,1,6,9,4,1,0,,Eplasty. 2010 Apr 8;10:e29.,"Shridharani SM, Stapleton SM, Redett RJ, Magarakis M, Rosson GD.",2010,20396379,"Tools: clinical evaluation Outcomes: amount of compliacations, return of function  ",18,,,,,no nerve transfer,,,,,,
Embase,"Double innervation (facial/masseter) on the gracilis flap, in the middle face reanimation in the management of facial paralysis: A new concept","Introduction: The facial paralysis is a non-rare condition that has very disabling functional, morphological and psychological repercussions. The current gold standard in facial reanimation is revascularized re-innervated muscle transfers. Materials and methods: In this paper, we report the results of a new method using the gracilis flap with a double innervation on the masseter motor nerve and the controlateral facial nerve via a sural graft in a single stage intervention, on a series of six patients. Results: No failure was observed. The average delay of a voluntary contraction was 3.8. months, and 7.2. months for a spontaneous one. Three of the six patients had ""excellent"" results according to the Terzis and Noah classification, two were classified as ""good"" and one ""average"" Discussion: A choice is to be made between a method advocating a natural and spontaneous dynamicity (controlateral facial nerve stimulus) and a method focusing on the quality and quantity of contractions (ipsilateral trijeminal stimulus). In this new technique, we combine the two methods: a free gracilis transfer with a dual innervation on the healthy controlateral facial nerve via a sural graft, on one hand, and a second anastomosis on the ipsilateral masseter nerve, on the other hand. Conclusion: This new proposed method seems to be, according to our results, a reliable technique rallying voluntary contraction and emotional smile. ¬© 2013 Elsevier Masson SAS.",6,Masseteric + CFNG,1,3,0,9,2,1,0,10.1016/j.anplas.2012.12.001,Annales de Chirurgie Plastique et Esthetique (2013) 58:2 (89-95). Date of Publication: April 2013,"Biglioli F., Bayoudh W., Colombo V., Pedrazzoli M., Rabbiosi D.",2013,23313587,"Tools: Terzis' and Noah classification, Outcome: clinical evaluation",6,4,7,"Multiple nerve grafts:masseter nerve,anastomosis",,Double innervation,,,,,,
Pub-med,Contralateral botulinum injections in patients with residual facial asymmetry and contralateral hyperkinesis after primary facial palsy surgery,"Aim: In patient with facial paralysis, facial appearance and muscular ability are impaired, and the psychological integrity is affected. Botulinum toxin A may be used to improve facial symmetry in patients suffering with facial palsy reducing the progressive contralateral hyperkinesis and facial asymmetry after primary surgery for facial paralysis. Material of study: Six patients, whom have been suffering unilateral facial palsy with an House-Brackmann score grade from III to VI, were included in this study for a residual facial asymmetry and contralateral hyperkinesis after previous facial reanimation. They were treated with 50 units of botulinum toxin type A injected in muscles of the unaffected side of face to improve muscular ability and facial symmetry. Results: This study demonstrated reduction in contralateral hyperkinesis and facial asymmetry that lasted approximately 120 days. All patients reported satisfactory results with the treatment. Comments: Botulinum toxin type A injections improved facial asymmetry and muscular function in all patients. Discussion and comments: Botulinum toxin type A injections may be an indispensable technique as a nonsurgical treatment or as a complementary measure in postsurgical treatments and should be certainly considered for temporary or permanent asymmetries in patients who suffer from facial palsy. Conclusions: Contralateral botulinum toxin type A injection was useful in reducing muscular hyperkinesis in patients with residual facial asymmetry after primary surgery for facial palsy, improving aesthetic and functional facial recovery with not widely common adverse events.",0,,0,0,0,1,4,1,1,,Ann Ital Chir. 2015 May-Jun;86(3):201-6.,"Bartoli D, Battisti A, Cassoni A, Terenzi V, Della Monaca M, Pagnoni M, Valentini V, Priore P.",2015,26229045,,6,,,,,no nerve transfer,,,,,,
Embase,Reconstruction of complex defects of the extracranial facial nerve: technique of ‚Äúthe trifurcation approach‚Äù,"Purpose: Reconstruction of complex defects of facial nerve (FN) after extensive cancer surgery requires individualized solutions. We describe the trifurcation technique as a modification of the combined approach on example of two patients with locally advanced parotid cancer. Methods: Due to perineural invasion, extensive resection of the FN from the mastoid segment to the peripheral branches was required. For reanimation of the upper face, a complex cervical plexus graft was sutured end-to-end to the mastoid segment of the FN trunk. The branches of the graft enabled reanimation of three peripheral temporal and zygomatic branches. The mandibular branch was sutured end-to-side to the hypoglossal nerve (hypoglossal‚Äìfacial nerve transfer, HFNT). Additionally, the buccal branch was independently reanimated with ansa cervicalis. Results: Facial reanimation was successful in both patients. Good resting tone and voluntary movement were achieved with a mild degree of synkinesis after 13¬†months. Patient 1 showed the Sunnybrook (SB) composite score 69 [76 (voluntary movement score) ‚àí 0 (resting symmetry score) ‚àí 7 (synkinesis score)]. In patient 2, the SB composite score was 76 (80 ‚àí 0 ‚àí 4, respectively). Conclusions: In this trifurcation approach, cervical cutaneous plexus provides a long complex nerve graft, which allows bridging the gap between proximal FN stump and several peripheral branches without great expenditure. In combination with the HFNT and ansa cervicalis transfer, this procedure enables the facial reanimation with low grade of synkinesis.",6,Hypoglossal + Ansa cervicalis + Cervical plexus,0,2,9,9,8,3,0,10.1007/s00405-019-05418-4,European Archives of Oto-Rhino-Laryngology (2019) 276:6 (1793-1798). Date of Publication: 1 Jun 2019,"Beutner D., Grosheva M.",2019,30949826,"sunnybrook score
neg: asymmetry, synkinesis",2,13,,"Multiple nerve grafts:hypoglossal,ansa cervicalis",,Double innervation,,,,,,
Embase,Masseter nerve-innervated free gracilis muscle transfer for smile reanimation in adults,"Objective: To investigate the outcomes of masseter nerve-innervated free gracilis muscle transfer for smile reanimation in adults and to explore surgical indications. Methods: A retrospective chart review of 37 patients (11 males, 26 females, with (40.3¬±12.7) years old)who underwent masseter nerve-innervated free gracilis muscle transfer for smile reanimation between 2016 and 2017 was performed. Patient-reported quality of life (facial clinimetric evaluation, FaCE), physician-reported facial function (eFACE facial grading scale), and oral commissure excursion were compared preoperatively and postoperatively. SPSS 11.0 software was used to analyze the data. Results: Thirty-seven patients were followed up in one year after surgery. Significant postoperative improvements were demonstrated for commissure excursion with smile (preoperatively: (-1.2¬±3.1) mm, postoperatively: (6.1¬±3.5) mm, t=-31.1, P<0.01), ipsilateral FaCE (preoperatively: (29.4¬±14.1), postoperatively: (57.6¬±23.4), t=-38.1, P<0.01), eFACE score (Composite score t=-35.8, Static score t=-29.1, Dynamic score t=-41.3,Midface score t=-43.9, all P<0.01), respectively. Conclusion: Masseter nerve-innervated free gracilis muscle transfer is an good option for dynamic smile reanimation in adult patients who have undergone treatment for long-standing facial paralysis.",2,,1,0,0,9,8,3,0,10.3760/cma.j.cn115330-20210225-00087,Zhonghua er bi yan hou tou jing wai ke za zhi = Chinese journal of otorhinolaryngology head and neck surgery (2021) 56:5 (465-470). Date of Publication: 7 May 2021,"Wang C.Y., Chen J.F., Li J.",2021,34011000,"tools: Patient-reported quality of life (facial clinimetric evaluation, FaCE), physician-reported facial function (eFACE facial grading scale), and oral commissure excursion",37,,,,,Masseteric nerve transfer,,,,,,
Pub-med,Cross-face nerve grafting followed by free muscle transplantation in young patients with long-standing facial paralysis. Reanimation of the cheek and the angle of the mouth,"For reanimation of the cheek in 8 young patients with long-standing facial palsy a method with cross-face nerve grafting followed by free muscle transplantation has been used. The sural nerve was used as nerve graft and placed in a subcutaneous tunnel across the face. In the normal cheek 3-4 fascicles of the nerve were anastomosed to facial nerve branches innervating muscles elevating the angle of the mouth. Four to 13 months later the extensor digitorum brevis muscle to the second toe or the palmaris longus was transplanted to the paralysed cheek. It was attached between the zygomatic arch and the angle of the mouth. The end of the nerve was sutured to the muscle after taking a biopsy. The follow-up period has been 7-30 months. At 7 months 6 patients had positive EMG, either on voluntary movement or on stimulation of the contralateral facial nerve. Three of them had also a slight movement in the cheek. Two patients are as yet only 7 months postoperative. In the remaining two cases, No. 2 and 4, there were no signs of reinnervation. At 18 months 4 out of 6 patients had a synchronous natural contraction in the cheek giving increased balance to the mouth. These patients had a positive EMG. In patients No. 2 and 4 there was neither innervation nor improvement. At 30 months there was additional improvement in two cases but as previously in patients No. 2 and 4 there was neither improvement nor signs of innervation of the muscle on the EMG. The other 4 patients have not reached this postoperative stage.(ABSTRACT TRUNCATED AT 250 WORDS)",1,,2,0,5,9,5,3,0,10.3109/02844318409052838,Scand J Plast Reconstr Surg. 1984;18(2):201-8. doi: 10.3109/02844318409052838.,"Vedung S, Hakelius L, St‚Äö√†√∂‚Äö√Ñ¬¢lberg E.",1984,6494818,,8,7,18,"Multiple nerve grafts:cross-face,Sural nerve graft",,Cross-facial nerve transfer,,,"[' extensor digitorum brevis flap', 'Extensor digitorum flap', 'Palmaris longus flap']", extensor digitorum brevis flap,Extensor digitorum flap,Palmaris longus flap
Pub-med,Paralyzed face. Ansa-cervicalis-nervi-hypoglossi,"Introduction: For 100 years hypoglossal-facial nerve anastomosis (HFA) has been a common surgical procedure for reanimation of paralyzed mimic muscles of the face after axotomy of the facial nerve. However, the denervation and subsequent scarred degeneration of the target muscles of the hypoglossal nerve often results in unfavorable late effects for speech and swallowing. Therefore, the ansa cervicalis nervi hypoglossi-facial nerve anastomosis (ACHFA) can be an alternative to avoid such late effects. As a branch of the hypoglossal nerve the ansa cervicalis innervates the infrahyoidal muscles. Neck dissection surgery proved that resection of the ansa cervicalis causes no side effects for swallowing because of several nerve anastomoses to the cervical plexus. Patients and method: We compared our clinical results of eight cases following a delayed ACHFA with our own experiences after HFA and results from the literature. Results: We found a reanimation rate lower than usually seen after HFA only in the target muscles of the forehead. This may be caused by a reduced neuronal plasticity of the ansa cervicalis. However, in the target muscles of the other two facial nerve branches we observed the same good results one would expect after HFA. There were no late side effects for swallowing and speech though.",3,,0,0,,0,0,0,0,10.1007/s00104-004-0883-z,Chirurg. 2005 Jan;76(1):47-53. doi: 10.1007/s00104-004-0883-z.,"Schipper J, Arndt S, Maier W, Spetzger U, Ridder GJ.",2005,15205750,,8,,,"Multiple nerve grafts:hypoglossal,anastomosis,ansa cervicalis",,Hypoglossal nerve transfer,,,,,,
Pub-med,Cross-Face Nerve Grafting versus Masseteric-to-Facial Nerve Transposition for Reanimation of Incomplete Facial Paralysis: A Comparative Study Using the FACIAL CLIMA Evaluating System,"Background: Incomplete facial paralysis is still a challenge because we must restore what is missing without causing damage to what has recovered. The current literature is insufficient, with a small number of cases. The use of nerve transfers has gained recent popularity for reanimating facial palsy. The authors present a comparative study between cross-face nerve grafting and masseteric-to-facial nerve transposition for incomplete facial paralysis. Methods: Twenty-eight patients with incomplete unilateral facial paralysis were reanimated with either cross-face nerve grafting (group I, n = 10) or masseteric nerve transfer (group II, n = 18). Commissural displacement and commissural contraction velocity were measured using the FACIAL CLIMA dystem. Spontaneity of the movement and satisfaction were also assessed. Results: When comparing the reconstructed and the healthy sides, statistical differences were found in group I but not in group II, suggesting that the resulting movement was symmetrical in group II but not in group I. Intergroup comparison showed that both commissural displacement and commissural contraction velocity were higher in group II. Spontaneity in group I was higher than in group II, but patients in group II showed more satisfaction, both without being statistically significant. Conclusions: Reanimation of incomplete facial paralysis can be satisfactorily achieved with both cross-face nerve grafting and direct masseteric-to-facial nerve transposition. However, with the masseteric nerve, better symmetry, a higher degree of recovery, and an increased level of satisfaction are achieved in a one-stage operation. Furthermore, both nerve sources are able to restore spontaneity in more than 50 percent of the patient's daily life, with no significant differences between them. Clinical question/level of evidence: Therapeutic, III.",4,,0,0,9,9,8,3,0,10.1097/PRS.0000000000004612,Plast Reconstr Surg. 2018 Aug;142(2):179e-191e. doi: 10.1097/PRS.0000000000004612.,"Hontanilla B, Olivas J, Cabello ‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö√±, Marr‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®¬¨¬© D.",2018,30045184,"tools: facial CLIMA, pt satisfaction, spontaneity of movement",28,,,"Multiple nerve grafts:cross-face,masseteric nerve,masseteric-to-facial",,Cross-facial nerve transfer,Masseteric nerve transfer,,,,,
Pub-med,Electromyographic evaluation of the facial and motor donor nerves before facial reanimation surgery in Moebius syndrome,"Background: Moebius syndrome is a clinical entity characterized by bilateral facial and abducens nerve palsies; other cranial nerver might be affected as well. So far, no studies have reported the electromyographic responses of the facial musculature in this group of patients. Objective: The objective of our study is to describe the electromyographic responses of the facial muscle and the main donor nerves for facial reanimation in patients with Moebius syndrome. Method: We analyzed electromyographies from the facial, hypoglossal, masseterine (trigeminal) and accessory nerves from patients with Moebius syndrome treated between 2010 and 2016. Results are presented as percentages and central tendency measures. Results: 24 patients were included, mean age 11.79 ¬¨¬®¬¨¬Æ¬¨¬®¬¨¬± 9.39 years. The facial nerve showed complete unilateral recruitment in 4 patients, partial bilaterally in 11, 7 showed no activity bilaterally and two had unilateral inactivity. The masseterine was normal in 14 patients, had partial recruitment bilaterally in 4 and unilaterally in 4 cases. The accessory nerve was normal in 20 patients, showed partial recruitment bilaterally in 3 and unilaterally in 1 patients. The hypoglossal was normal in 22 patients, and altered in 2 cases. Conclusion: Patients with Moebius syndrome show several degrees of alteration in electromyographic evaluation of the facial nerve. Electromyography is a useful tool in evaluating potential motor donor nerves for facial reanimation surgery.",4,,0,0,,0,0,0,0,10.24875/CIRU.19000999,Cir Cir. 2020;88(1):71-75. doi: 10.24875/CIRU.19000999.,"Telich-Tarriba JE, C‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®‚Äö√†√ªrdenas-Mej‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö¬¢‚Äö√Ñ‚Ä†a A.",2020,31967597,"nerve transfer: ""We analyzed electromyographies from the facial, hypoglossal, masseterine (trigeminal) and accessory nerves """,24,,,,,Hypoglossal nerve transfer,Masseteric nerve transfer,,,,,
Pub-med,"Facial Palsy, Radiographic and Other Workup Negative: FROWN","Objectives: Slow-onset peripheral facial palsy is far less common than acute-onset peripheral facial palsy and necessitates diagnostic evaluation for benign or malignant tumors or other less common etiologies. In the rare scenario in which no clarifying etiology is discovered following long-term evaluation (no radiographic or hematologic abnormalities and an otherwise unremarkable evaluation), a diagnostic and management dilemma occurs. We present a series of patients with this possible new clinical entity: Facial palsy, Radiographic and Other Workup Negative (FROWN) and propose a management strategy for this diagnosis of exclusion. Methods: A series of 3,849 patients presenting with facial palsy to a tertiary facial nerve center was retrospectively assessed to identify those with progressive loss of facial function over at least 1 month. Exclusion criteria were history, physical or hematologic findings indicative of known diseases associated with facial palsy, and radiographic studies demonstrating a benign or malignant tumor. Results: Patients with slow-onset facial palsy constituted 5% (190 patients) of the cohort and were ultimately diagnosed with either a benign or malignant neoplasm or other facial nerve pathology. Fourteen patients with slow-onset facial palsy remained without a diagnosis following long-term evaluation and serial imaging. Eleven patients underwent dynamic facial reanimation surgery and facial nerve and muscle biopsy, with no clear histopathologic diagnosis. Conclusion: Patients with slow-onset facial palsy with negative radiographic and medical evaluations over several years may be characterized as having FROWN, an idiopathic and as yet poorly understood condition, which appears to be amenable to facial reanimation but requires further investigation as to its pathophysiology.",0,,0,0,,0,0,0,0,10.1212/CPJ.0000000000001020,Neurol Clin Pract. 2021 Oct;11(5):e654-e660. doi: 10.1212/CPJ.0000000000001020.,"Greene JJ, Sadjadi R, Jowett N, Hadlock T.",2021,34840879,"Tools: Facial palsy, Radiographic and Other Workup Negative (FROWN) retrospective cohort of facial palsy pts",14,,,retrospective cohort of facial palsy pts,retrospective cohort of facial palsy pts,no nerve transfer,,,,,,
Pub-med,Interposition Grafting of the Facial Nerve After Resection of a Large Facial Nerve Schwannoma: 2-Dimensional Operative Video,"Facial nerve schwannomas can develop at any portion of the facial nerve.1 When arising from the mastoid portion of the facial nerve, the tumor will progressively erode the mastoid, giving the schwannoma an aggressive radiological appearance.1,2 The facial nerve is frequently already paralyzed, or no fascicles can be saved during resection. In these cases, end-to-end interposition grafting is the best option for facial reanimation.1,3-5 The healthy proximal and distal facial nerves are prepared prior to grafting. The great auricular nerve is readily available near the surgical site and represents an excellent graft donor with minimal associated morbidity.4,6 We demonstrate this technique through a case of a 48-yr-old male who presented with a complete right-sided facial nerve palsy due to a large facial schwannoma that invaded the mastoid and extended to the hypoglossal canal, causing hypoglossal nerve paralysis, and petrous carotid canal. His 4-yr follow-up showed no recurrent tumor with restored facial nerve function palsy to a House-Brackman grade III, and full recovery of his hypoglossal nerve function. The patient consented to the surgery and the publication of his image.",5,,0,2,0,7,2,1,0,10.1093/ons/opab240,Oper Neurosurg (Hagerstown). 2021 Sep 15;21(4):E340-E341. doi: 10.1093/ons/opab240.,"Ibn Essayed W, Aboud E, Al-Mefty O.",2021,34235539,HB score greater auricular nerve,1,,,other:Great auricular nerve graft,greater auricular nerve,Great auricular nerve transfer,,,,,,
Pub-med,The Masseteric-Facial Anastomosis With Intratemporal Translocation of the Facial Nerve: Step-by-Step Technique and Results,"Background: In the absence of a viable proximal nerve stump, damaged after surgical procedures around the skull base, numerous techniques for facial reanimation have been developed over time, aiming to restore baseline symmetry and active mimicry. Objective: To report experience using the masseteric nerve as a direct transfer to the facial nerve rerouted after intratemporal translocation. This paper illustrates the main steps of the technique and the quality of results. Methods: Eleven patients were treated with a masseteric direct transfer to the facial nerve. Its extratemporal rerouting toward the zygoma allowed tension-free coaptation between donor and recipient nerves. Results: Of the 11 patients, 8 had a good to excellent recovery, showing different patterns of time and scores, according to age, surgical timing, and masseteric nerve function quality. The return of activity in the frontalis muscle, never obtained after reinnervation via the hypoglossal nerve, is of particular interest. The quality of the smile can be improved with re-education and practice but remains under volitional control. A true emotional response is still lacking. Conclusion: The masseteric nerve is an excellent alternative to the hypoglossal nerve and can reinnervate the whole territory of the facial nerve rerouted after intratemporal translocation. The overall results are remarkable, but the low quality of the trigeminal nerve, eventually affected by the first surgery, may be an important limitation. Even if the patients appear more at ease in re-education than with other techniques, a fully natural facial expression remains impossible to obtain.",2,,2,0,10,2,2,1,0,10.1093/ons/opab286,Oper Neurosurg (Hagerstown). 2021 Oct 13;21(5):360-370. doi: 10.1093/ons/opab286.,"Ferraresi S, Basso E, Maistrello L, Di Pasquale P.",2021,34424333,neg: lacking true emotional response (smile),8,,,,,Masseteric nerve transfer,,,['Alt flap'],Alt ,,
Pub-med,Facial Reanimation Using Free Functional Muscle Transfer: Lessons Learnt From a Long Term Experience Comparing Innervation With Cross Facial Nerve Graft and Masseter Nerve,"Background: Facial palsy is a complex problem and goal of reanimation is to achieve symmetric face at rest and spontaneous smile. In our study the authors performed facial reanimation in long standing cases of facial palsy (more than 1 year), gracilis muscle was used as a free functioning muscle transfer. Two motor donor nerves were used: cross-face nerve graft and masseter nerve. Materials and methods: A total of 205 cases of unilateral facial reanimation with free functional muscle transfer (FFMT) were performed between 1998 and 2019. Out of 205 patients, 184 patients were operated by cross facial nerve graft-gracilis, and 21 by masseter nerve-gracilis. Quantitative assessment for outcome was done by measuring the excursion on follow up. Oral competence outcome and satisfaction score calculation was done by questionnaire. Results of spontaneous smile were divided into positive and negative groups. Results: A 2 stage cross facial nerve graft-gracilis FFMT achieved most natural and spontaneous smile when longer observation period (‚Äö√Ñ√∂‚àö¬¢‚Äö√Ñ¬¢2 years) was followed. Masseter nerve-gracilis provided satisfactory results in the shortest rehabilitation period, had more excursion but never obtained spontaneous smile. Conclusions: The cross facial nerve graft-gracilis FFMT can achieve natural and spontaneous smile and remains our first choice for facial reanimation. Masseter nerve-gracilis can be used if cross facial nerve graft-gracilis fails, patient desires a single stage surgery and in some specific conditions, such as bilateral mobius syndrome.",4,,1,3,0,9,3,1,0,10.1097/SCS.0000000000008606,J Craniofac Surg. 2022 Mar 8. doi: 10.1097/SCS.0000000000008606. Online ahead of print.,"Singh Kalra G, Kalra S, Gupta S.",2022,35258013,"Tools:questionnaire Outcome: excursion, oral competence, patient satisfaction Two motor donor nerves were used: cross-face nerve graft and masseter nerve",205,,,"Two motor donor nerves were used: cross-facial, ,masseteric nerve",Two motor donor nerves were used: cross-face nerve graft and masseter nerve,Cross-facial nerve transfer,Masseteric nerve transfer,,,,,
